[2026-04-24 14:42:05] Logging to logreg_numpy_numba.log
[2026-04-24 14:42:05] Starting FER2013 pipeline
[2026-04-24 14:42:05] Loading FER2013 data
[2026-04-24 14:42:05] Reading FER2013 CSV from fer2013.csv
[2026-04-24 14:42:17] HOG train: processed 21000/28709 images
[2026-04-24 14:42:17] HOG train: processed 21500/28709 images
[2026-04-24 14:42:17] HOG train: processed 22000/28709 images
[2026-04-24 14:42:17] HOG train: processed 22500/28709 images
[2026-04-24 14:42:17] HOG train: processed 23000/28709 images
[2026-04-24 14:42:17] HOG train: processed 23500/28709 images
[2026-04-24 14:42:17] HOG train: processed 24000/28709 images
[2026-04-24 14:42:17] HOG train: processed 24500/28709 images
[2026-04-24 14:42:17] HOG train: processed 25000/28709 images
[2026-04-24 14:42:17] HOG train: processed 25500/28709 images
[2026-04-24 14:42:17] HOG train: processed 26000/28709 images
[2026-04-24 14:42:17] HOG train: processed 26500/28709 images
[2026-04-24 14:42:17] HOG train: processed 27000/28709 images
[2026-04-24 14:42:17] HOG train: processed 27500/28709 images
[2026-04-24 14:42:17] HOG train: processed 28000/28709 images
[2026-04-24 14:42:17] HOG train: processed 28500/28709 images
[2026-04-24 14:42:18] HOG train: processed 28709/28709 images
[2026-04-24 14:42:18] Extracting public test features with numpy_numba
[2026-04-24 14:42:18] HOG public: processed 500/3589 images
[2026-04-24 14:42:18] HOG public: processed 1000/3589 images
[2026-04-24 14:42:18] HOG public: processed 1500/3589 images
[2026-04-24 14:42:18] HOG public: processed 2000/3589 images
[2026-04-24 14:42:18] HOG public: processed 2500/3589 images
[2026-04-24 14:42:18] HOG public: processed 3000/3589 images
[2026-04-24 14:42:18] HOG public: processed 3500/3589 images
[2026-04-24 14:42:18] HOG public: processed 3589/3589 images
[2026-04-24 14:42:18] Extracting private test features with numpy_numba
[2026-04-24 14:42:18] HOG private: processed 500/3589 images
[2026-04-24 14:42:18] HOG private: processed 1000/3589 images
[2026-04-24 14:42:18] HOG private: processed 1500/3589 images
[2026-04-24 14:42:18] HOG private: processed 2000/3589 images
[2026-04-24 14:42:18] HOG private: processed 2500/3589 images
[2026-04-24 14:42:18] HOG private: processed 3000/3589 images
[2026-04-24 14:42:18] HOG private: processed 3500/3589 images
[2026-04-24 14:42:18] HOG private: processed 3589/3589 images
[2026-04-24 14:42:18] Training classifier: logreg
[2026-04-24 14:42:49] Evaluating on PublicTest
[2026-04-24 14:42:49] Evaluating on PrivateTest
[2026-04-24 14:42:49] Evaluating on combined test set
[2026-04-24 14:42:49] PublicTest accuracy: 0.4486
[2026-04-24 14:42:49] PrivateTest accuracy: 0.4547
[2026-04-24 14:42:49] Combined accuracy: 0.4517
[2026-04-24 14:42:49] Benchmarks
[2026-04-24 14:42:49] Stage                                    Seconds    Items  Sec/Image      Img/Sec
[2026-04-24 14:42:49] ---------------------------------------------------------------------------------
[2026-04-24 14:42:49] csv_load:fast                            10.3639                                 
[2026-04-24 14:42:49] feature_train:numpy_numba                 1.8797    28709   0.000065      15272.9
[2026-04-24 14:42:49] feature_public:numpy_numba                0.2338     3589   0.000065      15350.7
[2026-04-24 14:42:49] feature_private:numpy_numba               0.2346     3589   0.000065      15300.1
[2026-04-24 14:42:49] classifier_fit:logreg                    30.9921    28709   0.001080        926.3
[2026-04-24 14:42:49] classifier_eval:public                    0.0164     3589   0.000005     219058.5
[2026-04-24 14:42:49] classifier_eval:private                   0.0110     3589   0.000003     326539.9
[2026-04-24 14:42:49] classifier_eval:combined                  0.0402     7178   0.000006     178400.6
[2026-04-24 14:42:49] Pipeline complete
